address,cost,lat_lon,phone,title,website,address_geo,latitude,longitude
"1483 Alaskan Way, Seattle, WA 98101","Adults: $17, Youth: $11, Children (under 3): Free","47.6098959, -122.3462634",206-386-4300,Seattle Aquarium,http://www.seattleaquarium.org/,"1483 Alaskan Way, Seattle, WA 98101, USA",47.607257,-122.3437363
"1501 Pike Place, Seattle, WA 98101",Entry is free.,"47.608709, -122.341047",206-682-7453,Pike Place Market,http://www.pikeplacemarket.org/,"1501 Pike Pl, Seattle, WA 98101, USA",47.6086274,-122.3407369
"1801 Dock Street, Tacoma, WA 98402",General Admission: $12,"47.245401, -122.433722",253-284-4750,Museum of Glass,http://www.museumofglass.org/,"1801 Dock St, Tacoma, WA 98402, USA",47.2459313,-122.4340769
"Space Needle, 400 Broad Street, Seattle, WA 98109",Prices start at $11 for children and $18 for adults.,"47.620492, -122.349237",206-905-2100,Space Needle,http://www.spaceneedle.com/,"400 Broad St, Seattle, WA 98109, USA",47.6205063,-122.3492774
"Mount Rainier National Park, 55210 238th Avenue East, Ashford, WA 98304",Entry fee is $15 per vehicle,"46.8996733, -121.6973877",360-569-2211,Mount Rainier National Park,http://www.nps.gov/mora/index.htm,"55210 238th Ave E, Ashford, WA 98304, USA",46.7577568,-122.1232461
"2820 SE Ferry Slip Road, Newport, OR 97365","Children: $9.95, Youth: $12.75, Adults: $15.45","44.61708, -124.047382",541-867- FISH (3474),Oregon Coast Aquarium,http://www.aquarium.org/,"2820 SE Ferry Slip Rd, Newport, OR 97365, USA",44.6170195,-124.04748
"4001 SW Canyon Road, Portland, OR 97221-9704","Children: $7.50, Adults: $10.50","45.509017, -122.713079",503-226-1561,Oregon Zoo,http://www.oregonzoo.org/,"Kalahari Banquet Room, 4001 Southwest Canyon Road, Portland, OR 97221, USA",45.508503,-122.7130441
"611 SW Kingston Avenue, Portland, OR 97205","Youth: $6.75, Adults: $9.50","45.5191157, -122.7067812s",503-223-1321,Portland Japanese Garden,http://www.japanesegarden.com/,"611 SW Kingston Ave, Portland, OR 97205, USA",45.51862,-122.7084311
"1313 S. Disneyland Drive, Anaheim, CA 92802","To visit both parks on the same day: Children, $91 and adults, $101.","33.8153989, -117.9241562",714-999-4565,"Disneyland, Anaheim",http://www.disneyland.disney.go.com/,"1313 Disneyland Dr, Anaheim, CA 92802, USA",33.8126774,-117.9203217
"Mt Lee Drive, Los Angeles, CA 90068",Free,"34.1326032, -118.3181997",323-258-4338,Hollywood Sign,http://www.hollywoodsign.org/,"Mount Lee Dr, Los Angeles, CA 90068, USA",34.1326597,-118.3181546
"500 SeaWorld Drive, San Diego, CA 92109","Children: $59, Adults: $69","32.758371, -117.183222",800-257-4268,SeaWorld San Diego,http://www.seaworld.com/,"500 Sea World Dr, San Diego, CA 92109, USA",32.7610915,-117.2219302
"2920 Zoo Drive, San Diego, CA 92101","Children: $27, Adults, $37","32.7381587, -117.1487305",619-231-1515,San Diego Zoo,http://www.sandiegozoo.org/,"2920 Zoo Dr, San Diego, CA 92101, USA",32.7345893,-117.1491197
